ID,QID,Wikipedia link,Listed Name,Standardized Name,Description,Category,Category Description,Manufacturer,Manufacturer URL,Supplier Name,Item page URL,Link to image,Cost,Life Span (years),Notes
ME01,,,DJI Matrice 210 UAV,DJI Matrice 210 UAV,,Category 1,Drones,DJI,https://www.dji.com/,DJI,https://www.dji.com/matrice-200-series,"https://www.dronefly.com/media/catalog/product/2/1/210rtkv2-z30-xt2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700&canvas=700:700",7422.8,10,
ME11,,,DJI Phantom Pro 4 UAV,DJI Phantom Pro 4 UAV,,Category 1,Drones,DJI,https://www.dji.com/,DJI,https://www.dji.com/phantom-4-pro,https://www2.djicdn.com/cms/uploads/cb613cc2670ea9eac555724395e6cff0@374*374.png,1566.4,10,
ME21,,,Sky-Hero Loki Mk2 UAV,Sky-Hero Loki Mk2 UAV,,Category 1,Drones,Sky-Hero,https://sky-hero.com/,Sky Hero,https://sky-hero.com/products/loki-mkii/,https://sky-hero.com/wp-content/uploads/2022/03/loki-intro-light.png,9750,10,
ME31,,,DJI Tello,DJI Tello,,Category 1,Drones,DJI,www.dji.com/,DJI,https://store.dji.com/product/tello?vid=38421,https://stormsend1.djicdn.com/tpc/uploads/carousel/image/c68c3d5010680db3cc147c67635d552e@ultra.jpg,100,5,
ME41,,,DJI Mavic Mini,DJI Mavic Mini,,Category 1,Drones,DJI,www.dji.com/,DJI,https://www.dji.com/mavic-mini,https://m.media-amazon.com/images/I/71Rl8Rfd8vL.jpg,450,5,
ME51,,,DJI Matrice 210 V2 Combo (SP) Drone System with DJI Enterprise Shield Basic ,DJI Matrice 210 V2 Combo (SP) Drone System with DJI Enterprise Shield Basic ,,Category 1,Drones,DJI,www.dji.com/,DJI,https://www.dji.com/matrice-200-series-v2,http://cdn.shopify.com/s/files/1/0007/4583/2508/products/DJI-Matrice-210-V2-Combo-Enterprise-Drone-System_1_1024x.jpg?v=1569863059,30125.64,5,
ME61,,,DJI Mavic Air ,DJI Mavic Air ,,Category 1,Drones,DJI,www.dji.com/,DJI,https://www.dji.com/mavic-air,https://m.media-amazon.com/images/I/51We5oIVy-L.jpg,500,5,
ME71,,,DJI Matrice RTK 300 Commercial Drone System ,DJI Matrice RTK 300 Commercial Drone System ,,Category 1,Drones,DJI,www.dji.com/,DJI,https://www.dji.com/matrice-300,https://dji-official-fe.djicdn.com/cms/uploads/b69ea2fb26bb9391c6f5600608d4f5d6.png,30603.08,5,
ME81,,,DJI Mavic 2 Zoom Enterprise Universal Edition with Enterprise Shield Support Program ,DJI Mavic 2 Zoom Enterprise Universal Edition with Enterprise Shield Support Program ,,Category 1,Drones,DJI,www.dji.com/,DJI,https://www.dji.com/mavic-2-enterprise,https://www.vertigodrones.com/assets/images/dji_mavic_2_enterprise_zoom_spotlight_shield_vertigo_drones.png,3245.58,5,
ME91,,,Brinc Lemur S,Brinc Lemur S,,Category 1,Drones,Brinc Drones,https://brincdrones.com/lemur-s-drone/,Brinc Drones,https://brincdrones.com/lemur-s-drone/,https://www.dronenerds.com/media/product/a1a/brinc-lemur-s-tactical-drone-l-0001-dronenerds-a2f.jpg,22110.22,5,
