Ref,LEA_Name,Reference,Contract,POST Participating,City,Latitude,Longitude,County,State,LEA_Type,Site,Policy_Manual_Exists,Mil_Equip_Policy_Exists,Military Equipment Inventory Exists,QA_Policy_Manual,QA_Mil_Equip_Policy,QA Mil_Equip_Inventory (if separate),Notes
SB978-703,Baldwin Park Police Department,,no,yes,Baldwin Park,34.08536,-117.9603,Los Angeles County,California,Police,https://www.baldwinparkpolice.com/Search?searchPhrase=manual,TRUE,TRUE/Draft,TRUE,https://www.baldwinparkpolice.com/DocumentCenter/View/96/Baldwin-Park-Police-Department-Policy-Manual-PDF,https://www.baldwinpark.com/public-notices/2914-bppd-military-equipment-policy-706/file,https://www.baldwinpark.com/public-notices/2914-bppd-military-equipment-policy-706/file,"The current manual, from 2/28/2022 is listed on the site but the link does not work."
SB978-704,Bell Police Department,,no,yes,Bell,33.97977,-118.1888,Los Angeles County,California,Police,https://www.cityofbell.org/?NavID=1,TRUE,FALSE,FALSE,https://www.cityofbell.org/home/showdocument?id=13315,,,
SB978-705,Bishop Police Department,,no,yes,Bishop,37.36680,-118.3953,Inyo County,California,Police,https://www.cityofbishop.com/departments/police/,TRUE,TRUE,Incomplete,https://www.cityofbishop.com/Document%20Center/Department/Police/Information/RELEASE_20210614_T113133_Bishop_PD_Policy_Manual.pdf,https://www.cityofbishop.com/Document%20Center/Department/Police/Information/Ordinance%20No.%20575%20AB%20481%20Military%20Equipment%20Use%20Policy%20w.attachments%20EXECUTED%202022%2003%2028.pdf,,Incomplete inventory.
SB978-706,Burbank-Glendale-Pasadena Airport Authority Police Department,,no,yes,Burbank,34.18182,-118.3078,Los Angeles County,California,Police,https://www.hollywoodburbankairport.com/airport-authority/bgpaa-police/,TRUE,FALSE,FALSE,https://www.dropbox.com/s/ymbaguthmpnatzv/BGPAAPD%20Policy%20Manual%20March%202022.pdf?dl=0,,,Lexipol
SB978-710,Carmel Police Department,,no,yes,Carmel by the Sea,36.55443,-121.9244,Monterey County,California,Police,https://ci.carmel.ca.us/,TRUE,FALSE,FALSE,https://ci.carmel.ca.us/sites/main/files/file-attachments/carmel_by_the_sea_pd_policy_manual.pdf?1621872907,,,
SB978-711,Cerritos Community College District Police Department,,no,yes,Cerritos,33.86866,-118.0637,Los Angeles County,California,College/University,https://www.cerritos.edu/police/default.htm,TRUE,FALSE,FALSE,https://www.cerritos.edu/police/_includes/docs/RELEASE_20220222_T115017_Cerritos_College_PD_Policy_Manual.pdf,,,
SB978-714,Coast Community College District Police Department,,no,yes,Costa Mesa,33.66389,-117.9024,Orange County,California,College/University,https://www.goldenwestcollege.edu/public-safety/index.html,TRUE,FALSE,FALSE,https://www.goldenwestcollege.edu/Links/pdf/RELEASE_20190924_T141046_Coast_Community_College_Police_Department_Protocol_Manual.pdf,,,
SB978-715,Compton Community College Police Department,,,,Compton,33.89569,-118.2244,Los Angeles County,California,College/University,https://www.compton.edu//adminandoperations/campuspolice/,TRUE,FALSE,FALSE,https://www.compton.edu//adminandoperations/campuspolice/Documents/CCPD_Policy-Manual.pdf,,,Lexipol
SB978-718,Corning Police Department,,no,yes,Corning,39.92791,-122.1791,Tehama County,California,Police,http://www.corning.org/police_dep.html,TRUE,TRUE,TRUE,https://www.corning.org/documents/policy-manual/,https://www.corning.org/documents/military-equipment-policy/,,
SB978-719,Crescent City Police Department,,no,yes,Cresent City,41.756111,-124.201667,Del Norte County,California,Police,https://www.crescentcity.org/departments/Police,TRUE,TRUE,,https://www.crescentcity.org/media/Police/RELEASE_20220811_T170935_Crescent_City__Police_Department_Manual.pdf,https://www.crescentcity.org/media/Police/RELEASE_20220811_T170935_Crescent_City__Police_Department_Manual.pdf,,
SB978-720,CSU Maritime Academy Police Department,,no,yes,Vallejo,38.10095,-122.2549,Solano County,California,College/University,https://www.csum.edu/police-department/,TRUE,FALSE,FALSE,https://www.csum.edu/police-department/media/csucalmaritimepolicymanual.pdf,,,
SB978-721,CSU San Francisco Police Department,,no,yes,San Francisco,37.75570,-122.4428,San Francisco County,California,College/University,https://upd.sfsu.edu/,TRUE,FALSE,FALSE,https://upd.sfsu.edu/sites/default/files/documents/SFSUPD_GO_2020.pdf,,,
SB978-722,CSU Stanislaus University Police Department,,no,yes,Stanislaus,37.56,-120.99,Stanislaus County,California,College/University,http://www.csustan.edu/upd/PoliceServices/Introduction.html,TRUE,TRUE,,https://www.csustan.edu/sites/default/files/groups/University%20Police%20Department/documents/stanislaus-state-pd-policy-manual-2022.pdf,https://www.csustan.edu/sites/default/files/groups/University%20Police%20Department/documents/stanislaus-state-pd-policy-manual-2022.pdf,,
SB978-723,El Rancho Unified School District Police Department,,no,no,Pico Rivera ,33.988889,-118.089167,Los Angeles County,California,School District,https://www.erusd.org/apps/pages/index.jsp?uREC_ID=155468&type=d&pREC_ID=2200244,TRUE,FALSE,FALSE,https://www.muckrock.com/foi/pico-rivera-3371/sb-978-policiesurl-125264/#file-1013392,,,Only available via Muckrock
SB978-725,Fontana Unified School District Police Department,,no,yes,Fontana,34.10261,-117.4358,San Bernandino County,California,School District,https://www.fusd.net/domain/245,TRUE,TRUE,,https://www.fusd.net/cms/lib/CA50000190/Centricity/Domain/245/20220812%20Fontana%20Unified%20School%20Dist%20PD%20Policy%20Manual.pdf,https://www.fusd.net/cms/lib/CA50000190/Centricity/Domain/245/Military%20Equipment.pdf,,
SB978-726,Foothill De-Anza Community College District Police Department,,,,Los Altos,37.38308,-122.1142,Santa Clara County,California,College/University,https://police.fhda.edu/,TRUE,TRUE,TRUE,https://police.fhda.edu/_downloads/FHDA%20PD%20Policy%20-%20Redacted%20-%20January%202022.pdf,https://police.fhda.edu/_resources-top-menu/FHDAPD%20Policy%20706%20Military%20Equipment%20DRAFT.pdf,,Policy has placeholder for military equipment policy. Lexipol.
SB978-727,Fulton-El Camino Park Police Department,,no,no,Sacramento,38.57944,-121.4908,Sacramento County,California,Police,https://www.fecrpd.com/park-police,TRUE,TRUE,,https://www.fecrpd.com/files/ce455c49f/FEC+Park+Police+Manual+2020.pdf,https://www.fecrpd.com/files/ad6db496c/FEPD+Public+Notice+Policy+8701-Military+Equipment.pdf,,
SB978-728,Glendale Police Department Park Rangers,,no,yes,Glendale,34.14633,-118.2486,Los Angeles County,California,Police,https://www.glendaleca.gov/government/departments/community-services-parks/csp-policies-procedures,TRUE,FALSE,FALSE,https://www.glendaleca.gov/home/showpublisheddocument/29179/635955639723470000,,,There was something requested in Muckrock but we could not see it.
SB978-731,Imperial County Sheriff's Department,,no,yes,El Centro,32.79616,-115.5700,Imperial County,California,Sheriff,https://icso.imperialcounty.org/,TRUE,TRUE,,https://icso.imperialcounty.org/wp-content/uploads/2020/12/Imperial-County-SD-Policy-Manual.pdf,https://icso.imperialcounty.org/wp-content/uploads/2022/05/AB-481.pdf,,
SB978-734,Lake Shastina District Police Department,,no,yes,Weed ,41.422650,-122.386127,Siskiyou County,California,Siskiyou County,https://www.lakeshastina.com/lscsdinfo.htm,TRUE,TRUE,,https://www.lakeshastina.com/Docs_PDFs/RELEASE_20220202_T185234_Lake_Shastina_PD_Policy_Manual.pdf,https://www.lakeshastina.com/Docs_PDFs/CSD%20Notices/Military%20Equipment%20Use%20-%20Copy.pdf,,
SB978-735,Lathrop Police Department,,no,yes,Lathrop,37.80439,-121.3026,San Joaquin County,California,Police,https://www.ci.lathrop.ca.us/police,TRUE,TRUE,,https://www.ci.lathrop.ca.us/sites/default/files/fileattachments/police/page/23972/lathrop_police_department_policy_manual_2022.pdf,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB481,,
SB978-737,Mariposa County Sheriff's Department,,no,yes,Mariposa,37.48411,-119.9647,Mariposa County,California,Sheriff,https://www.mariposacounty.org/82/Sheriffs-Office,TRUE,TRUE/Draft,FALSE,https://www.mariposacounty.org/DocumentCenter/View/91325/Office-Policy-Manual?bidId=,https://www.mariposacounty.org/DocumentCenter/View/91689,,
SB978-738,Montebello Unified School District Police Department,,no,yes,Montebello,34.01958,-118.1164,Los Angeles County,California,College/University,https://www.montebello.k12.ca.us/apps/pages/index.jsp?uREC_ID=2210591&type=d&pREC_ID=2195302,TRUE,FALSE,FALSE,https://4.files.edl.io/72a4/09/26/22/163847-bd8aed58-85d7-4f97-9b94-dbe034ea02dd.pdf,,,
SB978-740,Oakland City Housing Authority Police Department,,no,yes,Oakland,37.80508,-122.2731,Alameda County,California,Public Safety,http://www.ohapd.org/,TRUE,TRUE,TRUE,https://public.powerdms.com/OHAPD/tree/documents/2712094,https://public.powerdms.com/OHAPD/tree/documents/2820305,,
SB978-741,Oakley Police Department,,no,yes,Oakley,37.99638,-121.7130,Contra Costa County,California,Police,https://www.ci.oakley.ca.us/departments/police/,TRUE,TRUE,,https://www.ci.oakley.ca.us/wp-content/uploads/2022/05/Oakley-Police-Department-Policy-2022.1.pdf,https://www.ci.oakley.ca.us/wp-content/uploads/2022/06/Military-Equipment-Policy.pdf,,
SB978-745,Port San Luis Harbor District Harbor Patrol Department,,no,no,Avila Beach,35.17931,-120.7354,San Luis Obispo County,California,Police,https://www.portsanluis.com/,TRUE,FALSE,FALSE,https://www.portsanluis.com/DocumentCenter/View/5657/Harbor-Patrol-Policy-Manual-HPPM-Complete,,,They received funding to move to Lexipol.
SB978-747,Salinas Police Department,,no,yes,Salinas,36.67087,-121.6548,Monterery County,California,Police,http://www.salinaspd.com/,TRUE,TRUE,,https://salinasca-my.sharepoint.com/:b:/g/personal/salinaspdod_ci_salinas_ca_us/EZqixBpjY41Jp-rnR4lYc-MBpaTnXp-M74De6en2HJSOcA?e=NsdQsM,https://salinaspd.org/wp-content/uploads/2022/08/709-Military-Equipment-Addendum-A-8-18-22-1.pdf,,
SB978-748,San Bernardino Community College District Police Department,,no,yes,San Bernandino,34.1,-117.3,San Bernandino County,California,College/University,https://sbccd.edu/district-services/police-department/index.php,TRUE,FALSE,FALSE,https://sbccd.edu/district-services/police-department/how-we-serve/documents/sbccd-police-department-policy-manual-2014-01-16.pdf ,,,
SB978-749,San Bernardino Unified School District Police Department,,no,yes,San Bernandino,34.1,-117.3,San Bernandino County,California,School District,https://sbcusd.com/district_offices/district_police,TRUE,FALSE,FALSE,https://cdnsm5-ss13.sharpschool.com/UserFiles/Servers/Server_59869/File/RELEASE_20220224_T135233_San_Bernardino_City_USD_CA_Policy_Manual.pdf,,,
SB978-750,San Carlos Police Department,,no,yes,San Carlos,37.50494,-122.2628,San Mateo County,California,Police,https://www.smcsheriff.com/patrol-services/san-carlos-police-bureau,TRUE,TRUE,,https://www.smcsheriff.com/sites/default/files/content_files/2020_Operations_Policy_Manual.pdf,https://www.smcsheriff.com/sites/default/files/resources_files/San%20Mateo%20County%20Sheriff%27s%20Office%20Lexipol%20Policy%20705%20Military%20Equipment_0.pdf,,
SB978-751,San Diego Community College District Police Department,,no,yes,San Diego,32.71568,-117.1617,San Diego County,California,College/University,https://www.sdccd.edu/about/departments-and-offices/police-department/,TRUE,FALSE,FALSE,https://www.sdccd.edu/about/departments-and-offices/police-department/about/college-police-policies-procedures.aspx,,,
SB978-752,San Francisco Community College District Police Department,,no,yes,San Francisco,37.75570,-122.4428,San Francisco County,California,College/University,https://www.ccsf.edu/campus-police,TRUE,FALSE,FALSE,https://www.ccsf.edu/about-ccsf/board-trustees/ccsf-policies-administrative-procedures,,,
